评论内容,是否好评,好评数,有趣票数,加权评分,情感反馈,回复长度,情感占比,标签
1400小时，你明明能用这些时间来好好读些书去健身房强健体魄，去和喜欢的女孩子看电影，哪怕是和哥们儿出门喝个烂醉。但是你选择了在网吧打CSGO，聚精会神的和另外9个基佬在一个地图里相互射击，对着屏幕时而傻笑，时而专注紧张你，却不曾对1400多小时有一丝后悔。在这个充斥着作弊者，装逼犯的垃圾游戏环境下，不顺心的糟糕游戏体验让你--度想着“再打这个游戏我他妈就是狗”。然而每当你长枪局爆头突破破点，每当你感受着耳机里响起此起彼伏的笑声还有艰难地拿下一个个1vN残局之后你的肾上腺素会飙升而你更会享受着这一属于你的时刻。你还是会打开这一款你曾无数次恨透了的游戏。你不得不承认，你爱这款游戏，他已经成为了你生活的一部分,True,53,7,0.8122422695159912,8,3,9,热爱，矛盾，回忆，激情
20多年的经典，HF 1.5 时期的古早玩家，如今又陪着儿子再战江湖，快哉快哉,True,27,8,0.7545139193534851,9,2,8,怀旧，亲子，快乐
狗屎游戏毁我青春，官匹外挂满天飞，把把都是见面一枪头，奇怪的timing，打哪里哪里人多，还嚣张地嘲讽，还有那个国际服官匹，每次都是些说着鸟语的挂机老外，天天就大吼大叫，一输就喷队友挂机；平台又是非常“公平”elo机制，B+局把把四个嘴角流口水，连路都不会走的队友，有时候对面还都是和你水平相当的精锐部队；匹了半天steam登录超时，退出来之后又被禁赛，四排踢不了队友还偏偏匹配一个兼具小脑萎缩，脑桥中断，哑巴，聋子，帕金森于一身的怪胎，对面eco局起个全甲大狙前压送狙导致被翻盘，四个队友全在a包，自己看到对面的人第一秒直接跑到b下包，之后直接消失导致没人守包；还有那个V社，天天在更新些什么东西，你更新点无关紧要的动画，视角，换弹，不如把每次的更新日志改成修复已知问题别让玩家知道其实自己早已产能不足无法使cs回归巅峰，每次修复都完美解决了玩家过多的bug，有这时间不如好好研究研究你那反作弊和竞技冷却，天天吃饱了撑着去修复一个小鸡走路姿态问题,True,20,13,0.6949108839035034,2,3,10,愤怒，抱怨，外挂，机制差
为什么热爱cs？就相当于为什么你们天天玩cs玩不腻？天天就是那10个人，打过来打过去，有什么意思？那问题就回来了，为什么cs好玩？很简单，因为每一次击杀，每一次战术，每一次残局，每一次胜利。如果有人问我cs的美学是什么？更简单！当你扛着大心脏打下每一个绝妙而又令人不敢相信的残局处理，当你和队友每一次完美而又像艺术般的道具配合，当你每一个大胆而又高智商的战术制订，当你每一次精彩而又无懈可击的极限击杀。这就是cs的美学，这就是cs。他不仅仅是一款游戏，更是我们为冠军，胜利，荣耀冲击的心！我们的喜怒哀乐，每一次失败懊悔不已，为什么这个残局我没有拿下。每一次胜利的激动喜悦，卧槽牛逼，这枪够狠。每一次刷屏的吹逼大会，对面这阵容，真的，用脚打都是欺负他们了。都在这里面，点点滴滴都记录着在。当我们以后某一天再次打开游戏，曾经一起上分的队友早已不在，曾经打得对面一脸懵逼的战术早已失效，但是那个时候，我们回到了那个连少年都不算的年纪，对队友说句，也对自己说句:那个少年，他 回来了！我不是热爱cs，我只是热爱这段时光。,True,21,4,0.6848618388175964,9,3,10,热爱，情怀，回忆，感动
好好一个竞技游戏非要乱更新一些没用的东西 要不是为了箱子真不想玩了,True,12,2,0.574170410633087,3,2,6,失望，更新，箱子
"也是玩了1145个小时了，很好的游戏，就是官方喜欢搞点小巧思来推翻玩家所习惯的玩法，除此之外cs真是最纯粹的fps游戏了，推荐哦
",True,4,2,0.5657015442848204,7,2,5,推荐，纯粹，更新问题
改动机制越来越垃圾，弱智游戏仗着没有竞品随意改动，无脑为了真实而真实，让无数玩家感到恶心,True,12,0,0.5506735444068908,1,2,8,愤怒，改动差，恶心
CS就是纯粹的枪战 我个人觉得跟瓦洛兰特是完全不同的两个游戏 瓦偏向于在技能的加持下考研枪法 而cs则是在战术的应用上考研枪法 更拼个人的枪法 而瓦则是可以在借助技能的加持下击杀敌人,True,2,0,0.5454545617103576,7,2,4,比较，纯粹，战术，枪法
更新了之后总是没有声音，G胖你更尼玛呢？,False,6,0,0.5796917676925659,1,1,9,愤怒，bug，更新
优化太差，经常走着走着就黑屏了，毫无游戏体验,True,1,0,0.5238095521926879,2,1,7,差评，优化差，黑屏
很棒的游戏 我感觉我的爆头率上涨的原因是只能爆头杀一个 然后就有100%爆头了,True,1,1,0.5238095521926879,7,2,6,幽默，爆头，自嘲
游戏是好游戏，能把优化和外挂问题解决掉才是真正的开始,True,1,0,0.5238095521926879,5,1,4,中肯，优化，外挂
游戏非常好玩，但有很多挂，至少不会太影响平衡，也求求各位点个赞，祝点赞的人父母安康，万事如意，枪皮数不完Please give it a like。Wish you everything goes fortune.Thanks very much!,True,1,0,0.5238095521926879,8,2,7,好评，外挂，祝福
啥比V社会不会做游戏？你更你牛魔呢，是不是修复了CS2玩家过多的bug？打着打着没声音我是拿你母听脚步呢？,False,1,0,0.5238095521926879,1,2,10,愤怒，更新，bug，抱怨
逆天你爹玩没30小时就红信了，从来没早退和TK，更别说开挂，什么rz信誉系统,False,1,0,0.5238095521926879,2,1,9,愤怒，红信，信誉系统
"CS2 is a mess now: case farming, AFK bots and exploiters are everywhere with almost no punishment; the kick system is completely abused to silence honest players; VAC is useless, cheaters and toxic players face no consequences while legit players get punished for not breaking rules.
Valve only cares about skins and case sales, not fair competition or player experience. This is no longer a competitive game—it’s a farming simulator + gambling casino. Do not buy if you want fair CS; only stay if you plan to farm, cheat or join the toxic crowd.",False,1,0,0.5238095521926879,2,3,8,愤怒，外挂，箱子，差评
目前来说我没有任何理由玩这个游戏，也许是出于热爱也许是为了战斗爽。但从目前的情况来看这游戏反外挂做的不行服务器也是一坨屎，不管是管匹还是第三方平台反作弊还是吞子弹又或者原地复活，总之我的游戏时长虽然不多但这款游戏已经让我有点失望了。（写评论的时候我都不知道该给好评还是差评）,True,1,0,0.5238095521926879,4,3,8,失望，矛盾，外挂，服务器
非常硬核的一款fps游戏，没有花里胡哨的技能，也没有充钱就可以变强的金钱歧视，在这里，技术才是真正属于实力的一部分,True,2,0,0.5238095521926879,9,2,5,好评，硬核，技术，公平
腰不疼了腿不酸了坐下就爱打手枪一打一整天{0m0},True,3,3,0.5238095521926879,8,1,6,快乐，幽默，成瘾
"CS2’s fair competitive experience is amazing. No pay-to-win, no overpowered skills—everything depends on your skill and teamwork.
Casual mode teammates were super nice and helped me learn the economy and pre-aim spots. I’m still pretty bad at aiming, but hitting good flashes and pulling off a clutch defuse felt so satisfying.",True,1,0,0.52173912525177,9,2,6,好评，公平，团队，学习
